Screen Name,Text,Replies,Retweets,Likes,Sentiment
MyNameIsUnge,b'RT @adisuryanto97: Cacar monyet ini ternyata sangat berbahaya kita harus hati hati gaes.Jaga kesehatan masing masing.\n#WaspadaCacarMonyet\nh\xe2\x80\xa6',,8,0,Positif
MyNameIsUnge,"b'RT @AzadiMinggz: Ayo #WaspadaCacarMonyet jangan sampai lengah ya guys, jangan sampe ini jadi pandemi di Indonesia lagi deh.\n\nhttps://t.co/N\xe2\x80\xa6'",,25,0,Positif
MyNameIsUnge,b'RT @maulanaireng12: harus ttp waspada Cacar monyet bikin bentol bentol parah gitu lho... penyebarannya bisa lewat droplets juga katanya #Wa\xe2\x80\xa6',,11,0,Positif
ooooohm_,b'Izin tags: hujan bulan juni pancasila rom 128gb soekarno #waspadacacarmonyet #InstitusiBangsatBangsa https://t.co/e5NhbnAEYg',,0,0,Netral
MyNameIsUnge,b'RT @YohanessssW: Fakta terkait #cacarmonyet yang perlulah semua saudara-saudari ketahui\xf0\x9f\x91\x87\n#WaspadaCacarMonyet\n#IndonesiaSehatIndonesiaHebat\xe2\x80\xa6',,309,0,Netral
gisaille,b'RT @budapevst: Upaya pencegahan di bandara dan pelabuhan ini sangat penting karena negara Singapura sudah terjangkit cacar monyet dan negar\xe2\x80\xa6',,2,0,Positif
Nr53N74H7N,"b'RT @amybrow2121: Gejalanya itu demam tinggi, sakit kepala hebat, nyeri otot lemas, nyeri punggung sama pembengakakan kelenjar getah bening.\xe2\x80\xa6'",,2,0,Positif
katalogsayurbox,b'Telur Ayam Negeri diskon 40%\xe2\x9c\xa8\nKode voucer di link ya \xf0\x9f\x91\x87\nhttps://t.co/A3nEax98PE\n\n#waspadacacarmonyet the script nake\xe2\x80\xa6 https://t.co/L1dYLUr8Ls',,0,0,Netral
nuranikbh,b'RT @LarosMedia: WHO Ungkap Cacar Monyet Bisa Serang Siapapun Tidak Hanya Gay! https://t.co/SZbRMkDf2B Nitip tag: #Giveaway #zonauang\xe1\x85\xa0\xe1\x85\xa0\xe1\x85\xa0 #Ai\xe2\x80\xa6',,1,0,Positif
Lispinrfdhh_,"b'Gw jadi takut soalnya disini anaknya tetangga kek bentol kayak cacar air gtu di seluruh badannya, terus kayak ada s\xe2\x80\xa6 https://t.co/zE9GFsBD9D'",,0,0,Netral
larassaaf,b'RT @teletubii: Gini amat nasib ku masa muda ku dipenuhi dengan virus keknya nih:( skrng ada lagi nih virus baru #WaspadaCacarMonyet semoga\xe2\x80\xa6',,6,0,Netral
Musakkir90,b'Cacar monyet Tidak ada hubungan nya dengan orientasi sexual\xe2\x80\xa6STOP edukasi sesuka jidat \xf0\x9f\xa4\xa3 #WaspadaCacarMonyet https://t.co/Rmaf1dNg17',,0,0,Positif
dcmf27,"b'Demi apa sih ini, aku gatel gatel udah hampir 3 bulan dan gatelnya itu hampir sebadan, udh bolak-balik dokter umum,\xe2\x80\xa6 https://t.co/97YRlr8Jv8'",,0,0,Netral
matoatoa,"b'RT @ngepelantai: Tuhan menjagamu yaa tuan muda \xf0\x9f\xa5\xba \n\n#WaspadaCacarMonyet\nWabah Cacar Monyet Meledak, 219 Orang di Dunia Terjangkit https://t.\xe2\x80\xa6'",,1,0,Positif
NiHao_Kiki,"b'Bakal banyak yang maspada, apalagi buat mereka yang cape2 bikin muka glowing terus jadi bopeng2 kena cacar #WaspadaCacarMonyet'",,0,0,Positif
YusufNugrohho,b'Aku nyuci piring sarungan\nKowe masak dasteran\n\n----- iki mung angen2 -----\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\n\n#waspadacacarmonyet \nNakes\nPancasila',,0,0,Netral
terecalimz,b'#WaspadaCacarMonyet ? temenku udh kek monyet semua sih hehe',,0,0,Netral
benghar7,"b'Produk Terbatas dan Hampir habis, segera cek out SEKARANG kalau ga mau kehabisan PROMOnya\n\nTag :\nNakes\nPelecehan\n""H\xe2\x80\xa6 https://t.co/BD2mvPNUGL'",,0,0,Netral
Erlinnrd127,b'RT @ahyawari: Capek-capek berjuang untuk glow_up ehh #WaspadaCacarMonyet gini amat massa muda kalian.\nHoror mulu ni suasana',,2,0,Netral
icacrot_,b'RT @icacrot_: Pagi Hujan Bulan juni enak ni sambil vcs crot sangeee #vcs #1juni #waspadacacarmonyet https://t.co/G34wG6XaXe',,2,0,Netral
benghar7,"b'Produk Terbatas dan Hampir habis, segera cek out SEKARANG kalau ga mau kehabisan PROMOnya\n\nTag :\nNakes\nPelecehan\n""H\xe2\x80\xa6 https://t.co/X0x5uup7Ol'",,0,1,Netral
icacrot_,b'Pagi Hujan Bulan juni enak ni sambil vcs crot sangeee #vcs #1juni #waspadacacarmonyet https://t.co/G34wG6XaXe',,2,10,Netral
arr_rochim24,b'RT @orenshopedia: tag ayang dulu biar dibelikan \xe2\xa4\xb5\xef\xb8\x8f\nlink: https://t.co/hfHKj6db4C\n\ntags: happy pride month pancasila hujan bulan juni pagii\xe2\x80\xa6',,4,0,Netral
Zaitun_st,b'sebenernya yg bikin bnyk penyakit gara2 manusia jg kayanya #WaspadaCacarMonyet',,0,0,Negatif
benghar7,"b'Produk Terbatas dan Hampir habis, segera cek out SEKARANG kalau ga mau kehabisan PROMOnya\n\nTag :\nNakes\nPelecehan\n""H\xe2\x80\xa6 https://t.co/nvqyqVgnkd'",,0,0,Netral
buahalpucat,b'HAH DEMI APA MANA SEKARANG AKU LAGI GATEL2  #WaspadaCacarMonyet',,0,0,Netral
randombgt01,b'aku dari kemarin nih liat liat terus tentang cacar monyet sama perkembangannya udah sampai negara mana aja yang ter\xe2\x80\xa6 https://t.co/XlUKSBfFPc',,0,0,Positif
orenshopedia,b'tag ayang dulu biar dibelikan \xe2\xa4\xb5\xef\xb8\x8f\nlink: https://t.co/hfHKj6db4C\n\ntags: happy pride month pancasila hujan bulan juni\xe2\x80\xa6 https://t.co/upJiOuEC9K',,4,5,Netral
benghar7,"b'Produk Terbatas dan Hampir habis, segera cek out SEKARANG kalau ga mau kehabisan PROMOnya\n\nTag :\nNakes\nPelecehan\n""H\xe2\x80\xa6 https://t.co/TNHCJJYqdk'",,0,0,Netral
randombgt01,b'guys stay safe ya jaga kesehatan dan kebersihan juga demi pencegahan penyakit cacar monyet ini yaa semoga keluarga\xe2\x80\xa6 https://t.co/qmTPdzwlpT',,0,0,Positif
udahbodoamat,b'Untung saja pihak AS diketahui sudah mulai menyebarkan vaksin cacar monyet untuk beberapa negara yang terserang pen\xe2\x80\xa6 https://t.co/hum8BgbcFp',,0,1,Positif
tteokpokixx,b'Hah?? Ini apa lg \xe2\x98\xb9\xef\xb8\x8f#WaspadaCacarMonyet',,0,0,Netral
benghar7,"b'Produk Terbatas dan Hampir habis, segera cek out SEKARANG kalau ga mau kehabisan PROMOnya\n\nTag :\nNakes\nPelecehan\n""H\xe2\x80\xa6 https://t.co/ScoOXjZI1R'",,0,0,Netral
udahbodoamat,b'Guys hati-hati dekat dengan hewan liar. Kita harus waspada lagi nih biar gak kena sama cacar monyet #WaspadaCacarMonyet',,0,0,Positif
benghar7,"b'Produk Terbatas dan Hampir habis, segera cek out SEKARANG kalau ga mau kehabisan PROMOnya\n\nTag :\nNakes\nPelecehan\n""H\xe2\x80\xa6 https://t.co/aKSHKevBWH'",,0,0,Netral
peteloth433,b'#waspadacacarmonyet tetap jaga kebersihan https://t.co/8bDduDU4Rm',,0,0,Positif
IOytes,b'RT @apien_k19: Yang mainan #WaspadaCacarMonyet ga jauh beda sama media pendukung ketakutan https://t.co/0is9Ajh2kP',,1,0,Negatif
benghar7,"b'Produk Terbatas dan Hampir habis, segera cek out SEKARANG kalau ga mau kehabisan PROMOnya\n\nTag :\nNakes\nPelecehan\n""H\xe2\x80\xa6 https://t.co/bU0kMy9RZF'",,0,0,Netral
Butterflybiru,b'Mungkin orang sana blm cangkrangen kek orang\xc2\xb2 kita #WaspadaCacarMonyet',,0,1,Negatif
RacunBangetDeh,b'RT @runbiebs: Tali pengikat magnet\nCek\xf0\x9f\x91\x89 https://t.co/HEJG4Q0ijo\n\n.\n.\n.\n#InstitusiBangsatBangsa Pancasila Libur #WaspadaCacarMonyet Yamato H\xe2\x80\xa6',,8,0,Netral
ahmadieri,b'RT @orenshopedia: slingbag gemeshh \xe2\xa4\xb5\xef\xb8\x8f\nlink toko: https://t.co/0PB5SW0UdI\n\ntags: pancasila liam payne bts bts bts pelecehan hujan bulan juni\xe2\x80\xa6',,4,0,Netral
runbiebs,b'Tali pengikat magnet\nCek\xf0\x9f\x91\x89 https://t.co/HEJG4Q0ijo\n\n.\n.\n.\n#InstitusiBangsatBangsa Pancasila Libur\xe2\x80\xa6 https://t.co/XB6QYQt0zm',,8,10,Netral
benghar7,"b'Produk Terbatas dan Hampir habis, segera cek out SEKARANG kalau ga mau kehabisan PROMOnya\n\nTag :\nNakes\nPelecehan\xe2\x80\xa6 https://t.co/jWqq8VqvHu'",,0,0,Netral
Menggabutkan02,"b'Mickout Casual Shirt ""Garden"" Beige dengan harga Rp95.000. Link produk  https://t.co/5vLxjie9BL\n\nYamato Pelecehan N\xe2\x80\xa6 https://t.co/m8ZRiUwUuL'",,0,0,Netral
MumutArisandi,"b'RT @LiliAngelica6: Foto ini pernah viral. Dimana pun kita berada, dalam kondisi senang ataupun duka jangan lupa komunikasi dengan Allah SWT\xe2\x80\xa6'",,4,0,Netral
benghar7,"b'Produk Terbatas dan Hampir habis, segera cek out SEKARANG kalau ga mau kehabisan PROMOnya\n\nTag :\nNakes\nPelecehan\xe2\x80\xa6 https://t.co/Z8kVCBBI1T'",,0,0,Netral
katalogsayurbox,b'Spesial Hari Lahir Pancasila\xe2\x9c\xa8\nDiskon 30rb minimal belanja 170rb. \n**Kuota terbatas\nKode voucer ada di link Sayurflu\xe2\x80\xa6 https://t.co/0UwrCF42Q4',,0,0,Netral
LiliAngelica6,"b'Foto ini pernah viral. Dimana pun kita berada, dalam kondisi senang ataupun duka jangan lupa komunikasi dengan Alla\xe2\x80\xa6 https://t.co/MODnwByLlm'",,4,16,Netral
jevia0000,"b'https://t.co/LWHzQlTRsJ game judi terpercaya, game judi slot, game judi bola, game judi casino, judi online poker,\xe2\x80\xa6 https://t.co/XwBvFPqQmg'",,0,0,Netral
ulthappinesss,b'97 IS BACK pelecehan Yamato Hujan Bulan Juni AESPA IS BACK nct hollywood #SVT_HOT #WaspadaCacarMonyet \nhttps://t.co/ISMg9f26a2',,0,1,Netral
NorfalisS,b'Mending spill cara ngatasin cacar monyet gak siiih\n\n#WaspadaCacarMonyet',,0,1,Positif
benghar7,"b'Produk Terbatas dan Hampir habis, segera cek out SEKARANG kalau ga mau kehabisan PROMOnya\n\nTag :\nNakes\nPelecehan\xe2\x80\xa6 https://t.co/r0uxaPjjs7'",,0,0,Netral
loadicng,b'Help rt?\n\nHai.. yang lewat mampir sebentar disini. Aku open for order app premium. \nYoutube netflix wetv iqiyi viu\xe2\x80\xa6 https://t.co/1EhOauHbcW',,0,0,Netral
benghar7,"b'Produk Terbatas dan Hampir habis, segera cek out SEKARANG kalau ga mau kehabisan PROMOnya\n\nTag :\nNakes\nPelecehan\xe2\x80\xa6 https://t.co/5SkOOGEM2u'",,0,0,Netral
LiliAngelica6,b'RT @Belle_Fre: tenang . apapun keadaannya .\n\neril ~Yamato ~nakes ~pelecehan  #WaspadaCacarMonyet https://t.co/DTviy1iFW8',,5,0,Netral
Menggabutkan02,b'Eiem Bundle Toner &amp,,,,Netral
benghar7,"b'Produk Terbatas dan Hampir habis, segera cek out SEKARANG kalau ga mau kehabisan PROMOnya\n\nTag :\nNakes\nPelecehan\xe2\x80\xa6 https://t.co/GxddlX9eo4'",,0,0,Netral
